Timestamp,Date,Time,Emotion,Score
1770232013.1188052,2026-02-05,00:36:53,fear,0.2311
1770232013.3539543,2026-02-05,00:36:53,fear,0.2568
1770232013.885108,2026-02-05,00:36:53,fear,0.2538
1770232014.4031231,2026-02-05,00:36:54,happy,0.4489
1770232014.4766088,2026-02-05,00:36:54,fear,0.2094
1770232014.712355,2026-02-05,00:36:54,fear,0.2351
1770232015.010683,2026-02-05,00:36:55,fear,0.2531
1770232015.4719317,2026-02-05,00:36:55,fear,0.2010
1770232016.228511,2026-02-05,00:36:56,fear,0.2312
1770232016.7235875,2026-02-05,00:36:56,fear,0.2810
1770232017.0387986,2026-02-05,00:36:57,fear,0.2683
1770232017.4983783,2026-02-05,00:36:57,fear,0.3980
1770232017.9527802,2026-02-05,00:36:57,happy,0.9734
1770232018.2485306,2026-02-05,00:36:58,fear,0.2013
1770232018.8303528,2026-02-05,00:36:58,fear,0.2438
1770232019.3700068,2026-02-05,00:36:59,fear,0.2377
1770232019.7953126,2026-02-05,00:36:59,fear,0.2429
1770232020.3230786,2026-02-05,00:37:00,fear,0.2480
1770232020.712127,2026-02-05,00:37:00,fear,0.2863
1770232021.0786107,2026-02-05,00:37:01,fear,0.2807
1770232021.4730012,2026-02-05,00:37:01,fear,0.2543
1770232022.2645385,2026-02-05,00:37:02,fear,0.2008
1770232022.8067763,2026-02-05,00:37:02,fear,0.2312
1770232023.2813847,2026-02-05,00:37:03,fear,0.2516
1770232023.5820649,2026-02-05,00:37:03,fear,0.2835
1770232024.1233926,2026-02-05,00:37:04,fear,0.2416
1770232024.8986044,2026-02-05,00:37:04,fear,0.1823
1770232025.371164,2026-02-05,00:37:05,fear,0.2721
1770232025.8740368,2026-02-05,00:37:05,fear,0.2238
1770232026.1742134,2026-02-05,00:37:06,fear,0.2404
1770232026.636516,2026-02-05,00:37:06,fear,0.2485
1770232027.0440612,2026-02-05,00:37:07,fear,0.2335
1770232027.3951054,2026-02-05,00:37:07,fear,0.2217
1770232028.046511,2026-02-05,00:37:08,fear,0.2234
1770232028.4386322,2026-02-05,00:37:08,fear,0.2225
1770232028.856696,2026-02-05,00:37:08,happy,0.9156
1770232029.398826,2026-02-05,00:37:09,fear,0.2294
1770232029.983541,2026-02-05,00:37:09,happy,0.8944
1770232030.5265749,2026-02-05,00:37:10,fear,0.2056
1770232031.0350242,2026-02-05,00:37:11,fear,0.2495
1770232031.4199665,2026-02-05,00:37:11,fear,0.2175
1770232032.1700082,2026-02-05,00:37:12,happy,0.8206
1770232032.5813775,2026-02-05,00:37:12,fear,0.2743
1770232033.115357,2026-02-05,00:37:13,fear,0.2558
1770232033.4103036,2026-02-05,00:37:13,fear,0.2498
1770232034.116586,2026-02-05,00:37:14,fear,0.2267
1770232034.6542413,2026-02-05,00:37:14,fear,0.2091
1770232035.445106,2026-02-05,00:37:15,fear,0.2422
1770232035.9464788,2026-02-05,00:37:15,fear,0.3102
1770232036.5250602,2026-02-05,00:37:16,fear,0.2772
1770232037.0038557,2026-02-05,00:37:17,fear,0.2565
1770232037.2949595,2026-02-05,00:37:17,fear,0.2550
1770232037.7775443,2026-02-05,00:37:17,fear,0.2242
1770232038.2538352,2026-02-05,00:37:18,fear,0.2254
1770232038.6724744,2026-02-05,00:37:18,fear,0.2492
1770232038.941145,2026-02-05,00:37:18,fear,0.2873
1770232039.427468,2026-02-05,00:37:19,fear,0.2585
1770232039.8794065,2026-02-05,00:37:19,fear,0.2204
1770232040.4199286,2026-02-05,00:37:20,fear,0.2211
1770232040.9087608,2026-02-05,00:37:20,fear,0.2153
1770232041.375147,2026-02-05,00:37:21,fear,0.1993
1770232041.7752752,2026-02-05,00:37:21,fear,0.2424
1770232042.2529514,2026-02-05,00:37:22,sad,0.1885
